,seconds,alg
src/main/rl/logs\scenario1\new_del\scenario1_ActionSpaceOption2Wrapper_ObservationOption2Wrapper_NPPAutomationWrapper_RewardOption2Wrapper_PPO_new_del_1\events.out.tfevents.1654962188.DESKTOP-VUOVME7.16344.0,12.352631,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,31.969646,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,34.370821,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,31.395345,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,31.520825,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,31.492721,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,31.446813,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,31.487314,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,31.382633,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,31.119856,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,31.39788,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,81.948509,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,93.568376,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,78.751017,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,79.53741,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,79.220047,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,79.042146,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,79.359094,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,80.094139,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,78.772937,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,79.269251,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,292.322475,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,322.483062,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,294.86459,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,303.77178,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_4\events.out.tfevents,293.196866,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_5\events.out.tfevents,295.526048,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_6\events.out.tfevents,300.218312,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_7\events.out.tfevents,304.611458,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_8\events.out.tfevents,290.304627,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_SAC_training_04_06_9\events.out.tfevents,294.551333,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_1\events.out.tfevents,1505.53301,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_10\events.out.tfevents,1555.653877,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_2\events.out.tfevents,1482.261831,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_3\events.out.tfevents,1664.686834,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_4\events.out.tfevents,1516.502967,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_5\events.out.tfevents,1500.105992,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_6\events.out.tfevents,1539.242886,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_7\events.out.tfevents,1578.946235,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_8\events.out.tfevents,1446.499607,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_TD3_training_04_06_9\events.out.tfevents,1513.135675,TD3
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_1\events.out.tfevents,36.344731,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_10\events.out.tfevents,35.99428,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_2\events.out.tfevents,36.607872,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_3\events.out.tfevents,36.450708,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_4\events.out.tfevents,36.166952,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_5\events.out.tfevents,36.562392,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_6\events.out.tfevents,36.44068,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_7\events.out.tfevents,36.708206,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_8\events.out.tfevents,36.214956,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_A2C_training_04_06_9\events.out.tfevents,36.755816,A2C
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_1\events.out.tfevents,84.571014,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_10\events.out.tfevents,83.375867,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_2\events.out.tfevents,85.423496,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_3\events.out.tfevents,83.807193,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_4\events.out.tfevents,82.573191,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_5\events.out.tfevents,86.127198,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_6\events.out.tfevents,84.49925,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_7\events.out.tfevents,84.481401,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_8\events.out.tfevents,84.148411,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_PPO_training_04_06_9\events.out.tfevents,84.383255,PPO
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_1\events.out.tfevents,293.724875,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_10\events.out.tfevents,296.391121,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_2\events.out.tfevents,342.027728,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_3\events.out.tfevents,302.176581,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_4\events.out.tfevents,297.269687,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_5\events.out.tfevents,315.227604,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_6\events.out.tfevents,299.929303,SAC
src/main/rl/logs\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_NPPAutomationWrapper_RewardOption2Wrapper_SAC_training_04_06_7\events.out.tfevents,302.429757,SAC
