,full_path,combination,scenario,alg,action_wrapper,obs_wrapper,automation_wrapper,cum_reward,criticality_score_single,criticality_score_combined,total_timesteps
0,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_1\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,25.931429,-0.1,11.184970898549114,35
1,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_10\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,26.308573,0.0,26.767056528587812,50
2,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_2\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,33.322857,0.0,34.042765036495595,61
3,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_3\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,25.172857,-0.1,12.047590023602599,35
4,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_4\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,24.128567,0.0,28.188583534724653,49
5,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_5\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,57.348553,0.32614617450068595,121.85568148984679,250
6,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_6\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,38.8557,0.0,37.24037562675623,68
7,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_7\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,51.998558,0.0,44.62434855835458,84
8,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_8\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,25.222858,-0.1,13.496787174605242,35
9,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_9\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,22.722858,-0.1,16.277407028748655,35
10,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_1\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,79.67422,0.0,97.0097322138028,173
11,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_10\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,56.28998,0.0,74.1688240784938,130
12,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_2\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,49.155697,0.0,68.46150022536634,119
13,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_3\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,56.451347,0.0,75.05729350987873,131
14,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_4\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,60.469887,0.0,81.06393050641799,141
15,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_5\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,26.942858,0.0,46.98300569018955,80
16,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_6\best_model.zip,src/main/rl/models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,ObservationOption1Wrapper,,58.20429,0.0,78.08394241968153,136
