,full_path,combination,scenario,alg,action_wrapper,obs_wrapper,automation_wrapper,cum_reward,criticality_score_single,criticality_score_combined,total_timesteps
0,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption3Wrapper_TD3_reward_sparse_cloudpickle_1\best_model.zip,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption3Wrapper_TD3_reward_sparse_cloudpickle,scenario1,<class 'stable_baselines3.td3.td3.TD3'>,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,27.0,-0.1,9.26792575339864,37
1,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption3Wrapper_TD3_reward_sparse_cloudpickle_2\best_model.zip,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption3Wrapper_TD3_reward_sparse_cloudpickle,scenario1,<class 'stable_baselines3.td3.td3.TD3'>,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,124.0,0.053569874251057956,52.31314486461075,250
2,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption3Wrapper_TD3_reward_sparse_cloudpickle_3\best_model.zip,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption3Wrapper_TD3_reward_sparse_cloudpickle,scenario1,<class 'stable_baselines3.td3.td3.TD3'>,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,0.0,0.9090909090909091,227.27272727272674,250
3,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_SAC_reward_sparse_cloudpickle2_1\best_model.zip,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_SAC_reward_sparse_cloudpickle2,scenario1,<class 'stable_baselines3.sac.sac.SAC'>,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,243.0,0.0462728299927126,48.88603531872856,250
4,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_SAC_reward_sparse_cloudpickle2_2\best_model.zip,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_SAC_reward_sparse_cloudpickle2,scenario1,<class 'stable_baselines3.sac.sac.SAC'>,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,244.0,0.015886800156586105,13.941206508737809,250
5,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_SAC_reward_sparse_cloudpickle2_3\best_model.zip,src/main/rl/models_sparse_rewards\scen1\reward_sparse1\scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_SAC_reward_sparse_cloudpickle2,scenario1,<class 'stable_baselines3.sac.sac.SAC'>,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,NPPAutomationWrapper,243.0,0.02139415217266374,15.216590983922403,250
6,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle_1\best_model.zip,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle,scenario2,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,NPPAutomationWrapper,0.0,0.9090909090909091,94.54545454545438,104
7,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle_2\best_model.zip,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle,scenario2,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,NPPAutomationWrapper,196.0,0.7637478194563428,211.82468600760473,250
8,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle_3\best_model.zip,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_NPPAutomationWrapper_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle,scenario2,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,NPPAutomationWrapper,198.0,0.5832124389725851,196.05259255406435,250
9,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle_1\best_model.zip,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle,scenario2,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,0.0,0.0,22.60350955046398,40
10,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle_2\best_model.zip,src/main/rl/models_sparse_rewards\scen2\reward_sparse1\scenario2_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption3Wrapper_PPO_reward_sparse_cloudpickle,scenario2,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,0.0,0.0,60.724157954545475,84
