,combination,scenario,alg,condensator_pump_blown,water_pump_blown,action_wrapper,obs_wrapper,automation_wrapper,cum_reward,criticality_score,total_timesteps,full_path,result_wo_npp_automation,result_w_npp_automation,result_wo_npp_automation_criticality,result_w_npp_automation_criticality,result_wo_npp_automation_timesteps,result_w_npp_automation_timesteps,episode_length_1000_condensator_pump_blown,episode_length_1000_water_pump_blown,episode_length_1000,episode_length_1000_criticality,episode_length_1000_timesteps,ObservationVariesPositiveNoiseWrapper,ObservationVariesPositiveNoiseWrapper_criticality,ObservationVariesPositiveNoiseWrapper_timesteps,ObservationVariesNegativeNoiseWrapper,ObservationVariesNegativeNoiseWrapper_criticality,ObservationVariesNegativeNoiseWrapper_timesteps,ObservationVariesNoiseWrapper1,ObservationVariesNoiseWrapper1_criticality,ObservationVariesNoiseWrapper1_timesteps,DelayNoiseWrapperOption1,DelayNoiseWrapperOption1_criticality,DelayNoiseWrapperOption1_timesteps,DelayNoiseWrapperOption2,DelayNoiseWrapperOption2_criticality,DelayNoiseWrapperOption2_timesteps,create_starting_state_option1,create_starting_state_option1_criticality,create_starting_state_option1_timesteps,create_starting_state_option2a,create_starting_state_option2a_criticality,create_starting_state_option2a_timesteps,create_starting_state_option2b,create_starting_state_option2b_criticality,create_starting_state_option2b_timesteps,create_starting_state_option2c,create_starting_state_option2c_criticality,create_starting_state_option2c_timesteps,create_starting_state_option3,create_starting_state_option3_criticality,create_starting_state_option3_timesteps
0,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,209.79135,178.38030941725677,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_1,,8.111429214477539,,7.66406318841428,,11,False,False,840.59186,715.4254886098105,1000,207.02144,184.76177511546126,250,0.84,1.372023076923077,2,0.84,1.372023076923077,2,209.29996,178.26681261282337,250,0.7261411,1.272023076923077,2,211.04,179.30479479670782,250,0.0,0.5753850863912771,1,2.6282623,1.9011627977926757,4,5.383146,5.075659476075836,8,176.30475,204.15398238987393,250
1,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,232.37787,186.1900657985489,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_2,,13.951630592346191,,11.88540909870431,,17,False,False,961.7026,750.9952480198898,1000,31.705713,28.134967666094703,39,1.6271429,2.059829779165134,3,46.49065,38.7023147795037,54,227.67853,185.80586228989776,250,0.74786323,1.271323076923077,2,10.251669,8.75499471957198,12,172.22005,184.21342198442204,250,0.0,0.392740406495683,1,108.12142,86.59430779281765,117,229.74854,177.69919643272652,250
2,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,229.64128,202.16097834231303,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_3,,10.932857513427734,,9.714622279450253,,14,False,False,957.1282,761.7952393889674,1000,227.42441,205.86155187899823,250,0.7828571,1.3703107692307692,2,0.7828571,1.3703107692307692,2,229.45135,200.55643991251685,250,0.7709251,1.2703107692307691,2,237.18083,203.37132766225002,250,0.0,1.3479451221284513,2,238.5139,200.81244065022614,250,237.57193,199.51840748366746,250,100.94781,88.69807232677412,113
3,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,227.66989,200.24862108060037,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_4,,8.871429443359375,,8.298129045863327,,12,False,False,928.27454,818.3559871912069,1000,1.4942857,2.734498342887988,4,0.7828571,1.3695996153846153,2,0.7828571,1.3695996153846153,2,229.34497,198.1358089879441,250,0.7709251,1.2692307692307692,2,18.692495,15.910765213728164,22,0.0,0.6731235479297386,1,23.613094,26.000425112259684,34,1.7669599,10.621157504795487,13,104.06997,76.71064356267148,125
4,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,237.15456,187.58651717021755,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_5,,22.877145767211914,,19.959351003780696,,28,False,False,351.00266,260.2919534493354,367,237.6116,185.70899176866482,250,233.28522,192.77431096166464,250,237.27536,184.4152073881947,250,237.55513,187.77048539982457,250,0.74786323,1.27044,2,242.2949,184.7791851501014,250,233.13492,188.9990902689765,250,237.3375,181.19500728682013,250,0.0,0.5936158556220462,1,214.69707,145.05227023350915,224
5,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,236.47679,185.2213432346947,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_6,,243.14413452148438,,176.0129216645868,,250,False,False,963.0502,745.8776319457025,1000,213.14868,201.6776640085207,250,71.8602,54.82702036029501,78,119.355156,95.93220759652837,133,157.8448,125.61426656594658,176,0.7368421,1.272076923076923,2,227.15067,214.3370901281822,250,85.619545,71.14719503685738,100,233.327,216.55618497706246,250,232.02821,217.14950763130062,250,0.0,0.4231538461538461,1
6,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,219.37975,225.07165066580052,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_7,,27.998567581176758,,24.974209538930022,,35,False,False,924.2356,953.5367275805412,1000,216.23495,216.9439793500979,250,0.6857143,2.0640437965260547,3,27.01857,25.504369921422146,35,215.74516,213.72586153299036,250,0.86419755,1.3765137965260545,2,226.4501,229.3921860604917,250,24.791426,24.50169165712237,34,230.80096,228.91193961017058,250,231.28873,235.0168734092039,250,213.34201,191.2890217123954,250
7,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,235.30109,196.6687259423687,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_8,,12.387142181396484,,11.248244198773886,,16,False,False,968.33594,800.5779390859805,1000,177.17383,148.45905463182118,197,10.951428,11.159989432400073,16,236.89787,196.32238368062886,250,73.3311,61.15403710866795,83,0.7583965,1.272076923076923,2,0.0,0.6337683583935357,1,3.8400002,6.280367342307549,9,0.0,0.392740406495683,1,0.0,0.5913543171605078,1,0.0,0.4230769230769231,1
8,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,232.75609,186.11584603330698,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_9,,37.48594665527344,,30.004188621602147,,44,True,False,360.7918,286.8450441338385,384,226.32874,187.03605031274347,250,3.817143,4.877804839149296,7,231.09991,183.83446540847052,250,229.57573,184.94382398772427,250,0.0,1.271923076923077,2,238.13374,188.25188580515174,250,227.32509,184.75602751131208,250,2.48,2.228085675473141,4,47.348274,38.40298894224001,53,225.9788,210.87238233709195,250
9,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.td3.td3.TD3'>,False,False,ActionSpaceOption3Wrapper,ObservationOption4Wrapper,,219.77281,174.96693963004714,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption4Wrapper_None_RewardOption2Wrapper_TD3_training_04_06_10,,227.79991149902344,,171.9272925795747,,250,False,False,901.9182,704.8947189303688,1000,221.88814,177.61377668786255,250,0.81142855,1.3720769230769232,2,0.81142855,1.3720769230769232,2,218.65166,177.30791663417725,250,0.74786323,1.272076923076923,2,225.52573,176.37375084907794,250,218.06876,175.8505828819865,250,228.38692,176.9958386413041,250,227.54036,177.6341960298775,250,45.002014,49.79834360578206,63
