,combination,scenario,alg,condensator_pump_blown,water_pump_blown,action_wrapper,obs_wrapper,automation_wrapper,cum_reward,criticality_score_single,criticality_score_combined,total_timesteps,full_path,result_wo_npp_automation,result_w_npp_automation,result_wo_npp_automation_timesteps,result_w_npp_automation_timesteps,episode_length_1000_condensator_pump_blown,episode_length_1000_water_pump_blown,episode_length_1000,episode_length_1000_criticality_single,episode_length_1000_criticality_combined,episode_length_1000_timesteps,ObservationVariesPositiveNoiseWrapper,ObservationVariesPositiveNoiseWrapper_timesteps,ObservationVariesNegativeNoiseWrapper,ObservationVariesNegativeNoiseWrapper_timesteps,ObservationVariesNoiseWrapper1,ObservationVariesNoiseWrapper1_timesteps,DelayNoiseWrapperOption1,DelayNoiseWrapperOption1_timesteps,DelayNoiseWrapperOption2,DelayNoiseWrapperOption2_timesteps,create_starting_state_option1,create_starting_state_option1_timesteps,create_starting_state_option2a,create_starting_state_option2a_timesteps,create_starting_state_option2b,create_starting_state_option2b_timesteps,create_starting_state_option2c,create_starting_state_option2c_timesteps,create_starting_state_option3,create_starting_state_option3_timesteps
0,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,224.0315,0.21543911689409675,213.7506318659712,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_1,,219.88888549804688,,250,False,False,935.0937,0.21543911689409675,887.469862753927,1000,218.79308,250,220.3852,250,218.13873,250,221.60507,250,222.07835,250,229.86574,250,218.28476,250,230.33644,250,230.95361,250,210.50565,250
1,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,201.50313,0.5250740304680215,188.21500403138162,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_2,,201.5031280517578,,250,False,False,874.11566,0.5250740304680215,757.0429567598467,1000,196.57872,250,207.22786,250,199.77113,250,199.6188,250,202.42624,250,211.54118,250,196.9739,250,213.75743,250,12.487142,26,200.23654,250
2,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,221.14983,0.2912426359742885,187.43854153933594,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_3,,215.66883850097656,,250,False,False,955.0421,0.2912426359742885,706.5696882946452,1000,217.99127,250,218.50093,250,222.23611,250,219.44089,250,225.15298,250,230.66116,250,217.4275,250,241.85118,250,240.65642,250,224.97765,250
3,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,220.06476,0.18692920311288452,209.1894277587778,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_4,,220.89332580566406,,250,False,False,904.17,0.18692920311288452,940.7123159290476,1000,218.26701,250,221.26997,250,219.85033,250,175.73573,203,1.7742857,4,223.04337,250,217.869,250,223.3251,250,11.964287,36,234.94211,250
4,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,233.18958,0.12760834510727778,77.67145002049382,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_5,,225.86656188964844,,250,False,False,962.16223,0.12760834510727778,315.864340277785,1000,231.25789,250,234.28539,250,230.85326,250,229.23036,250,234.32146,250,240.56424,250,20.877148,34,233.97963,250,239.67505,250,238.0357,250
5,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,191.01439,0.1256237552052438,151.20768497897168,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_6,,210.0051727294922,,250,False,False,832.8657,0.1256237552052438,487.19978656497364,1000,194.23988,250,185.1971,250,198.0859,250,196.79808,250,0.95,3,204.3122,250,193.41484,250,205.42564,250,210.89696,250,178.53859,250
6,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,218.65201,0.20207824373437977,124.38595313430625,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_7,,233.11297607421875,,250,False,False,952.5532,0.20207824373437977,478.30513614492753,1000,215.87831,250,222.71976,250,217.88438,250,219.49402,250,0.9285714,2,226.67438,250,214.51733,250,224.79199,250,225.65562,250,221.66849,250
7,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,215.22119,0.14264041163809618,178.1907671303256,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_8,,227.93849182128906,,250,False,False,908.2289,0.14264041163809618,793.0282013456508,1000,51.397144,77,205.21097,250,212.84875,250,214.24118,250,0.9842857,2,226.38475,250,211.54936,250,230.42958,250,231.12117,250,54.362846,78
8,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,206.8032,0.2095877233025875,209.50132883081562,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_9,,204.59751892089844,,250,False,False,870.0121,0.2095877233025875,925.5897442897777,1000,206.49907,250,205.58838,250,206.75893,250,207.6862,250,208.93042,250,216.4121,250,203.05609,250,210.89989,250,210.23973,250,203.07042,250
9,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06,src.main.rl.envs.scenario1:Scenario1,<class 'stable_baselines3.sac.sac.SAC'>,False,False,ActionSpaceOption3Wrapper,ObservationOption5Wrapper,,229.99298,0.20457764695608582,164.9537006474778,250,src/main/rl/models/scenario1/training_04_06/scenario1_ActionSpaceOption3Wrapper_ObservationOption5Wrapper_None_RewardOption2Wrapper_SAC_training_04_06_10,,220.97479248046875,,250,False,False,941.66705,0.20457764695608582,710.809129122701,1000,234.95746,250,225.1857,250,229.64812,250,226.85817,250,0.9093403,3,236.01045,250,224.42398,250,232.41345,250,235.83585,250,237.08214,250
