,full_path,combination,scenario,alg,action_wrapper,obs_wrapper,automation_wrapper,reward,criticality_score
0,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_1\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,25.931429,20.92195879380108
1,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_10\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,26.79143,65.0392867219187
2,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_2\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,33.84857,72.54914169784061
3,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_3\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,25.172857,21.248527135004576
4,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_4\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,24.60428,58.14833877368279
5,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_5\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,57.348553,155.37997855024736
6,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_6\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,39.40713,65.96812988910993
7,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_7\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,52.599987,81.56223974365223
8,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_8\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,25.222858,21.23034011574675
9,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06_9\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_A2C_training_04_06,scenario1,<class 'stable_baselines3.a2c.a2c.A2C'>,ActionSpaceOption2Wrapper,,,22.722858,22.16538303551899
10,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_1\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,,,80.124214,168.264271349749
11,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06_10\best_model.zip,../models\scenario1\training_04_06\scenario1_ActionSpaceOption2Wrapper_None_None_RewardOption2Wrapper_PPO_training_04_06,scenario1,<class 'stable_baselines3.ppo.ppo.PPO'>,ActionSpaceOption2Wrapper,,,56.712837,108.4695046819596
